Fold,Total,Accuracy,Error Rate,Precision,TPR,TNR,FPR,FNR,F1,BACC,TSS,HSS,BS,BSS,TP,TN,FP,FN
1.0,57.0,0.9649122807017544,0.03508771929824561,0.9411764705882353,0.9411764705882353,0.975,0.025,0.058823529411764705,0.9411764705882353,0.9580882352941176,0.9161764705882351,0.9161764705882353,0.026831578947368418,0.8926736842105263,16.0,39.0,1.0,1.0
2.0,57.0,0.9649122807017544,0.03508771929824561,1.0,0.9230769230769231,1.0,0.0,0.07692307692307693,0.9600000000000001,0.9615384615384616,0.9230769230769231,0.9288389513108615,0.025773684210526313,0.8969052631578948,24.0,31.0,0.0,2.0
3.0,57.0,0.9824561403508771,0.017543859649122806,1.0,0.95,1.0,0.0,0.05,0.9743589743589743,0.975,0.95,0.961038961038961,0.021857894736842104,0.9125684210526316,19.0,37.0,0.0,1.0
4.0,57.0,0.9649122807017544,0.03508771929824561,0.9411764705882353,0.9411764705882353,0.975,0.025,0.058823529411764705,0.9411764705882353,0.9580882352941176,0.9161764705882351,0.9161764705882353,0.019733333333333335,0.9210666666666667,16.0,39.0,1.0,1.0
5.0,57.0,0.9649122807017544,0.03508771929824561,0.9444444444444444,0.9444444444444444,0.9743589743589743,0.02564102564102564,0.05555555555555555,0.9444444444444444,0.9594017094017093,0.9188034188034186,0.9188034188034188,0.034710526315789476,0.8611578947368421,17.0,38.0,1.0,1.0
6.0,57.0,0.9473684210526315,0.05263157894736842,0.9583333333333334,0.92,0.96875,0.03125,0.08,0.9387755102040817,0.944375,0.8887499999999999,0.8926553672316384,0.04646666666666667,0.8141333333333334,23.0,31.0,1.0,2.0
7.0,57.0,0.9649122807017544,0.03508771929824561,0.9411764705882353,0.9411764705882353,0.975,0.025,0.058823529411764705,0.9411764705882353,0.9580882352941176,0.9161764705882351,0.9161764705882353,0.026799999999999997,0.8928,16.0,39.0,1.0,1.0
8.0,57.0,0.9473684210526315,0.05263157894736842,0.96,0.9230769230769231,0.967741935483871,0.03225806451612903,0.07692307692307693,0.9411764705882353,0.9454094292803971,0.8908188585607941,0.8935905413814561,0.02967368421052631,0.8813052631578948,24.0,30.0,1.0,2.0
9.0,57.0,0.9649122807017544,0.03508771929824561,1.0,0.9259259259259259,1.0,0.0,0.07407407407407407,0.9615384615384615,0.962962962962963,0.925925925925926,0.929368029739777,0.04284561403508772,0.8286175438596491,25.0,30.0,0.0,2.0
10.0,56.0,0.9642857142857143,0.03571428571428571,0.9473684210526315,0.9473684210526315,0.972972972972973,0.02702702702702703,0.05263157894736842,0.9473684210526315,0.9601706970128023,0.9203413940256047,0.9203413940256046,0.04114285714285714,0.8354285714285714,18.0,36.0,1.0,1.0
5.5,56.9,0.9630952380952381,0.0369047619047619,0.9633675610595116,0.9357422049341555,0.9808823882815819,0.019117611718418172,0.06425779506584461,0.9491191693951535,0.9583122966078687,0.916624593215737,0.9193166075296422,0.031583583959899755,0.873665664160401,19.8,35.0,0.7,1.4
